Etiology,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,>= 1 factor reported,Outbreaks with reported contributing factors,Total outbreaks
Bacterial,,,,,,,,,,,,,,,,,,
Salmonella,1,-,-,-,-,12,11,3,21,3,3,2,3,4,4,41,48,132
Clostridium perfringens,1,-,-,-,-,2,-,-,1,-,-,-,-,3,2,9,15,18
"Escherichia coli, Shiga toxin-producing",1,-,-,-,-,1,5,-,5,1,-,1,-,4,2,11,12,25
Campylobacter,-,-,-,-,-,2,7,1,2,1,1,1,-,-,1,10,10,18
Bacillus cereus,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,5,6
Staphylococcus aureus enterotoxin,-,-,-,-,-,1,-,-,2,-,-,-,-,-,1,3,4,4
Vibrio parahaemolyticus,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,2,3
Vibrio cholerae,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,3,3,4
Shigella,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,2
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staphylococcus spp,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Brucella spp,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
Vibrio other,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,1,1
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,4,-,-,-,-,19,28,5,33,6,4,4,3,12,11,83,104,219
Chemical and toxin,,,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,9,-,-,-,-,-,2,-,1,-,-,-,-,-,-,10,10,12
Ciguatoxin,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11
Mycotoxins,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1
Other,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,2
Subtotal,20,-,1,1,-,-,2,-,1,-,-,-,-,-,1,23,23,26
Parasitic,,,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,2,2,2
Trichinella,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,2
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,4,4,5
Viral,,,,,,,,,,,,,,,,,,
Norovirus,1,-,-,-,-,1,6,2,2,32,24,38,10,1,3,83,84,145
Hepatitis A virus,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,3,3,3
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,1,-,-,-,-,1,8,2,3,32,24,38,11,1,3,86,87,149
Single etiology,26,-,1,1,-,21,40,7,37,38,28,42,14,13,15,196,218,399
Multiple etiologies con_rmed,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,2,2,4
Total,26,-,1,1,-,22,40,7,37,39,28,43,14,13,15,198,220,403